,Investigation.Type,Injury.Severity,Aircraft.damage,Aircraft.Category,Make,Model,Number.of.Engines,Engine.Type,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Broad.phase.of.flight,Publication.Date
0,Accident,Non-Fatal,Substantial,Airplane,Cessna,140,1.0,Reciprocating,Personal,0.0,0.0,0.0,0.0,Takeoff,01-01-1982
1,Accident,Non-Fatal,Substantial,Airplane,Cessna,401B,2.0,Reciprocating,Business,0.0,0.0,0.0,0.0,Landing,01-01-1982
2,Accident,Non-Fatal,Destroyed,Airplane,Bellanca,17-30A,1.0,Reciprocating,Personal,0.0,0.0,1.0,0.0,Cruise,02-01-1983
3,Accident,Fatal(1),Destroyed,Airplane,Cessna,R172K,1.0,Reciprocating,Personal,1.0,0.0,0.0,1.0,Takeoff,02-01-1983
4,Accident,Fatal(1),Destroyed,Airplane,Navion,A,1.0,Reciprocating,Personal,1.0,0.0,0.0,1.0,Cruise,02-01-1983
5,Accident,Non-Fatal,Destroyed,Helicopter,Enstrom,280C,1.0,Reciprocating,Personal,0.0,0.0,0.0,0.0,Taxi,02-01-1983
6,Accident,Non-Fatal,Substantial,Airplane,Cessna,172,1.0,Reciprocating,Personal,0.0,0.0,0.0,0.0,Taxi,02-01-1983
7,Accident,Non-Fatal,Substantial,Helicopter,Smith,WCS-222 (BELL 47G),1.0,Reciprocating,Personal,0.0,0.0,0.0,0.0,Cruise,02-01-1983
8,Accident,Non-Fatal,Substantial,Airplane,Cessna,152,1.0,Reciprocating,Instructional,0.0,0.0,0.0,0.0,Takeoff,02-01-1983
9,Accident,Non-Fatal,Substantial,Airplane,Cessna,150L,1.0,Reciprocating,Personal,0.0,0.0,0.0,0.0,Approach,02-01-1983
10,Accident,Non-Fatal,Substantial,Helicopter,Bell,206L-1,1.0,Turbo Shaft,Unknown,0.0,0.0,0.0,0.0,Approach,02-01-1983
11,Incident,Incident,Minor,Airplane,Piper,PA-24-180,1.0,Reciprocating,Personal,0.0,0.0,0.0,0.0,Approach,03-01-1983
12,Accident,Fatal(1),Destroyed,Airplane,Beechcraft,BE-58,2.0,Reciprocating,Personal,1.0,0.0,0.0,1.0,Approach,03-01-1983
13,Accident,Non-Fatal,Substantial,Airplane,Maule,M-5-235C,1.0,Reciprocating,Personal,0.0,0.0,0.0,0.0,Landing,03-01-1983
14,Accident,Non-Fatal,Substantial,Airplane,Cessna,210L,1.0,Reciprocating,Personal,0.0,0.0,1.0,0.0,Descent,03-01-1983
15,Accident,Non-Fatal,Substantial,Airplane,Air Tractor,AT-301,1.0,Reciprocating,Ferry,0.0,0.0,0.0,0.0,Takeoff,03-01-1983
16,Accident,Fatal(1),Destroyed,Airplane,Cessna,206,1.0,Reciprocating,Business,1.0,0.0,1.0,1.0,Taxi,04-01-1983
17,Accident,Fatal(1),Destroyed,Airplane,Piper,PA-22,1.0,Reciprocating,Personal,1.0,0.0,0.0,1.0,Cruise,05-01-1983
18,Incident,Incident,Minor,Airplane,Rockwell,114,1.0,Reciprocating,Business,0.0,0.0,0.0,0.0,Cruise,05-01-1983
19,Accident,Non-Fatal,Substantial,Airplane,Piper,PA-28R-200,1.0,Reciprocating,Ferry,0.0,0.0,0.0,0.0,Cruise,05-01-1983
20,Accident,Non-Fatal,Substantial,Airplane,Cessna,TR182,1.0,Reciprocating,Unknown,0.0,0.0,0.0,0.0,Taxi,05-01-1983
21,Accident,Non-Fatal,Substantial,Airplane,Cessna,340,2.0,Reciprocating,Executive/corporate,0.0,0.0,0.0,0.0,Approach,06-01-1983
22,Accident,Non-Fatal,Substantial,Helicopter,Aerospatiale,SA-316B,1.0,Turbo Shaft,Business,0.0,0.0,0.0,0.0,Taxi,06-01-1983
23,Accident,Non-Fatal,Substantial,Airplane,Beech,35,1.0,Reciprocating,Personal,0.0,0.0,0.0,0.0,Climb,06-01-1983
24,Accident,Non-Fatal,Substantial,Airplane,Cessna,152,1.0,Reciprocating,Instructional,0.0,0.0,0.0,0.0,Approach,06-01-1983
25,Accident,Non-Fatal,Substantial,Airplane,Mooney,M-20J,1.0,Reciprocating,Business,0.0,0.0,0.0,0.0,Takeoff,06-01-1983
26,Accident,Non-Fatal,Substantial,Airplane,Beech,V35,1.0,Reciprocating,Personal,0.0,0.0,0.0,0.0,Approach,07-01-1983
27,Accident,Non-Fatal,Substantial,Airplane,Curtis,C46,2.0,Reciprocating,Unknown,0.0,0.0,0.0,0.0,Standing,07-01-1983
28,Accident,Fatal(1),Destroyed,Airplane,Cessna,172M,1.0,Reciprocating,Personal,1.0,0.0,0.0,1.0,Approach,08-01-1983
29,Accident,Non-Fatal,Substantial,Airplane,Cessna,TU206G,1.0,Reciprocating,Business,0.0,0.0,0.0,0.0,Landing,08-01-1983
30,Accident,Non-Fatal,Substantial,Airplane,Cessna,152,1.0,Reciprocating,Instructional,0.0,0.0,0.0,0.0,Cruise,08-01-1983
31,Accident,Non-Fatal,Substantial,Airplane,Piper,PA-24-250,1.0,Reciprocating,Instructional,0.0,0.0,0.0,0.0,Landing,08-01-1983
32,Accident,Non-Fatal,Substantial,Airplane,Cessna,152,1.0,Reciprocating,Instructional,0.0,0.0,0.0,0.0,Takeoff,08-01-1983
33,Accident,Non-Fatal,Substantial,Airplane,Cessna,172N,1.0,Reciprocating,Personal,0.0,0.0,0.0,0.0,Landing,08-01-1983
34,Accident,Non-Fatal,Substantial,Airplane,Cessna,152,1.0,Reciprocating,Instructional,0.0,0.0,0.0,0.0,Landing,08-01-1983
35,Accident,Non-Fatal,Substantial,Glider,Schleicher,ASW 20,0.0,Unknown,Personal,0.0,0.0,0.0,0.0,Landing,09-01-1983
36,Accident,Non-Fatal,Substantial,Airplane,Cessna,172,1.0,Reciprocating,Personal,0.0,0.0,0.0,0.0,Approach,09-01-1983
37,Accident,Non-Fatal,Substantial,Airplane,Piper,PA-34,2.0,Reciprocating,Personal,0.0,0.0,0.0,0.0,Taxi,09-01-1983
38,Accident,Non-Fatal,Substantial,Airplane,Cessna,305 (L-19),1.0,Reciprocating,Unknown,0.0,0.0,0.0,0.0,Landing,09-01-1983
39,Accident,Non-Fatal,Substantial,Airplane,Cessna,182A,1.0,Reciprocating,Unknown,0.0,0.0,0.0,0.0,Approach,09-01-1983
40,Accident,Non-Fatal,Destroyed,Airplane,Cessna,172N,1.0,Reciprocating,Personal,0.0,0.0,0.0,0.0,Landing,10-01-1983
41,Accident,Non-Fatal,Destroyed,Airplane,Piper,23-250,2.0,Reciprocating,Personal,0.0,0.0,0.0,0.0,Takeoff,10-01-1983
42,Accident,Non-Fatal,Substantial,Airplane,Quickie,1,1.0,Reciprocating,Personal,0.0,0.0,0.0,0.0,Takeoff,10-01-1983
43,Accident,Non-Fatal,Substantial,Airplane,Cessna,180,1.0,Reciprocating,Personal,0.0,0.0,0.0,0.0,Takeoff,11-01-1983
44,Accident,Non-Fatal,Substantial,Airplane,Cessna,310L,2.0,Reciprocating,Personal,0.0,0.0,0.0,0.0,Landing,11-01-1983
45,Incident,Incident,Minor,Airplane,Embraer,EMB-110P1,2.0,Turbo Prop,Unknown,0.0,0.0,0.0,0.0,Taxi,12-01-1983
46,Accident,Non-Fatal,Destroyed,Airplane,Grumman,AA5B,1.0,Reciprocating,Personal,0.0,0.0,0.0,0.0,Descent,13-01-1983
47,Accident,Non-Fatal,Substantial,Airplane,Piper,PA-28R-201T,1.0,Reciprocating,Personal,0.0,0.0,0.0,0.0,Cruise,13-01-1983
48,Accident,Non-Fatal,Substantial,Airplane,Beech,A23-24,1.0,Reciprocating,Personal,0.0,0.0,0.0,0.0,Takeoff,13-01-1983
49,Accident,Non-Fatal,Substantial,Airplane,Piper,PA-31-350,2.0,Reciprocating,Unknown,0.0,0.0,0.0,0.0,Approach,13-01-1983
50,Accident,Non-Fatal,Substantial,Airplane,Cessna,172,1.0,Reciprocating,Personal,0.0,0.0,0.0,0.0,Landing,15-01-1983
51,Accident,Non-Fatal,Substantial,Helicopter,Hughes,269C,1.0,Reciprocating,Unknown,0.0,0.0,0.0,0.0,Taxi,15-01-1983
52,Accident,Non-Fatal,Substantial,Airplane,Cessna,140,1.0,Reciprocating,Unknown,0.0,0.0,0.0,0.0,Takeoff,15-01-1983
53,Accident,Non-Fatal,Substantial,Airplane,Beech,C-45H,2.0,Reciprocating,Unknown,0.0,0.0,0.0,0.0,Landing,15-01-1983
54,Accident,Non-Fatal,Substantial,Airplane,De Havilland,DHC-2-MK3,1.0,Turbo Prop,Unknown,0.0,0.0,0.0,0.0,Landing,15-01-1983
55,Accident,Non-Fatal,Substantial,Airplane,Cessna,150M,1.0,Reciprocating,Personal,0.0,0.0,0.0,0.0,Go-around,16-01-1983
56,Accident,Fatal(1),Destroyed,Airplane,Cessna,150M,1.0,Reciprocating,Personal,1.0,0.0,0.0,1.0,Takeoff,17-01-1983
57,Accident,Fatal(1),Destroyed,Airplane,Bede Aircraft,BD-5B,1.0,Reciprocating,Personal,1.0,0.0,0.0,1.0,Maneuvering,17-01-1983
58,Accident,Non-Fatal,Destroyed,Airplane,Cessna,182P,1.0,Reciprocating,Unknown,0.0,0.0,1.0,0.0,Other,17-01-1983
59,Accident,Fatal(1),Destroyed,Airplane,Piper,PA-31,2.0,Reciprocating,Unknown,1.0,0.0,0.0,1.0,Approach,17-01-1983
60,Accident,Non-Fatal,Destroyed,Airplane,Cessna,150,1.0,Reciprocating,Instructional,0.0,0.0,1.0,0.0,Takeoff,17-01-1983
61,Accident,Non-Fatal,Substantial,Airplane,Cessna,180E,1.0,Reciprocating,Personal,0.0,0.0,0.0,0.0,Maneuvering,17-01-1983
62,Accident,Non-Fatal,Substantial,Airplane,Cessna,170B,1.0,Reciprocating,Personal,0.0,0.0,0.0,0.0,Landing,17-01-1983
63,Accident,Non-Fatal,Substantial,Helicopter,Bell,206B,1.0,Turbo Shaft,Unknown,0.0,0.0,0.0,0.0,Maneuvering,17-01-1983
64,Accident,Fatal(1),Destroyed,Airplane,Cessna,172M,1.0,Reciprocating,Personal,1.0,0.0,0.0,1.0,Cruise,18-01-1983
65,Accident,Non-Fatal,Substantial,Airplane,Cessna,180K,1.0,Reciprocating,Business,0.0,0.0,0.0,0.0,Takeoff,18-01-1983
66,Accident,Fatal(1),Destroyed,Airplane,Mooney,M20F,1.0,Reciprocating,Business,1.0,0.0,0.0,1.0,Takeoff,19-01-1983
67,Incident,Incident,Minor,Airplane,De Havilland,DHC-6-300,2.0,Turbo Prop,Ferry,0.0,0.0,0.0,0.0,Descent,19-01-1983
68,Accident,Non-Fatal,Substantial,Airplane,Piper,AEROSTAR 601P,2.0,Reciprocating,Executive/corporate,0.0,0.0,0.0,0.0,Takeoff,19-01-1983
69,Accident,Non-Fatal,Substantial,Airplane,Cessna,152,1.0,Reciprocating,Instructional,0.0,0.0,0.0,0.0,Cruise,19-01-1983
70,Accident,Non-Fatal,Substantial,Airplane,Cessna,182P,1.0,Reciprocating,Aerial Observation,0.0,0.0,1.0,0.0,Cruise,19-01-1983
